iter	RMSE
0	5.700536464
1	5.638712278
2	5.577843312
3	5.51271322
4	5.453514986
5	5.40726697
6	5.362518352
7	5.301541966
8	5.246145029
9	5.195017032
10	5.14708971
11	5.097420402
12	5.036350229
13	4.9865542
14	4.937479912
15	4.890986936
16	4.841599337
17	4.797197242
18	4.745011114
19	4.693163317
20	4.642178256
21	4.596777581
22	4.545153218
23	4.488061281
24	4.442295589
25	4.389148463
26	4.345910198
27	4.312404147
28	4.266868429
29	4.228743601
30	4.181887517
31	4.145495118
32	4.098002844
33	4.065767975
34	4.024357974
35	3.987914612
36	3.949187344
37	3.90757332
38	3.866908065
39	3.824300586
40	3.785051764
41	3.745138287
42	3.69912453
43	3.662388327
44	3.622444201
45	3.586077518
46	3.559102733
47	3.52364576
48	3.479260644
49	3.441261524
50	3.405139185
51	3.370834937
52	3.331615687
53	3.303132376
54	3.271781067
55	3.241577326
56	3.214939594
57	3.192199321
58	3.160635812
59	3.128798521
60	3.097264624
61	3.07279088
62	3.046182148
63	3.0209586
64	2.992044575
65	2.966312962
66	2.938949176
67	2.913580171
68	2.884074875
69	2.855181183
70	2.821739907
71	2.78945882
72	2.76430334
73	2.740266058
74	2.70617321
75	2.677114851
76	2.651638664
77	2.618820359
78	2.597916538
79	2.568021645
80	2.540898841
81	2.511129984
82	2.485138213
83	2.462231573
84	2.443153008
85	2.418270088
86	2.392123574
87	2.369791549
88	2.347640594
89	2.326289437
90	2.302461876
91	2.280966282
92	2.254554092
93	2.227270903
94	2.206603325
95	2.185440465
96	2.161744099
97	2.143277987
98	2.120543745
99	2.097938321
100	2.077689438
101	2.054583617
102	2.033573913
103	2.013468129
104	1.993199496
105	1.969964411
106	1.95065968
107	1.933257336
108	1.916274669
109	1.901429797
110	1.880695804
111	1.86284569
112	1.84662694
113	1.828627455
114	1.812183598
115	1.798185458
116	1.78112997
117	1.767747772
118	1.753916233
119	1.737993639
120	1.724527347
121	1.709964596
122	1.692984029
123	1.6794986
124	1.664917693
125	1.650870082
126	1.633937052
127	1.616577934
128	1.599801847
129	1.586671908
130	1.571263565
131	1.554994219
132	1.539809199
133	1.528036303
134	1.516637845
135	1.501411887
136	1.48989172
137	1.47833124
138	1.462863641
139	1.448737377
140	1.437049595
141	1.421688955
142	1.409456048
143	1.396605318
144	1.383637713
145	1.369026639
146	1.355519032
147	1.344302933
148	1.330895346
149	1.317645
150	1.306836003
151	1.296932809
152	1.282537103
