iter	Passed	Remaining
0	1	1015
1	1	904
2	2	847
3	3	821
4	4	808
5	4	772
6	5	765
7	6	764
8	6	764
9	7	768
10	8	773
11	9	784
12	10	785
13	11	785
14	12	788
15	12	790
16	13	786
17	14	782
18	15	776
19	15	771
20	16	766
21	17	761
22	18	774
23	19	773
24	19	770
25	20	751
26	20	749
27	21	751
28	22	750
29	23	749
30	23	742
31	24	741
32	25	745
33	26	744
34	26	742
35	27	744
36	28	735
37	29	740
38	29	738
39	30	736
40	31	731
41	32	731
42	32	727
43	33	727
44	34	726
45	34	724
46	35	723
47	36	722
48	37	718
49	37	716
50	38	714
51	39	713
52	39	708
53	40	707
54	41	707
55	42	708
56	42	708
57	43	707
58	44	706
59	45	706
60	45	705
61	46	705
62	47	703
63	48	702
64	48	701
65	49	700
66	50	699
67	50	698
68	51	697
69	52	696
70	53	696
71	53	695
72	54	693
73	55	693
74	55	689
75	56	687
76	57	687
77	58	686
78	58	686
79	59	685
80	60	691
81	61	689
82	62	690
83	63	692
84	64	694
85	66	703
86	69	724
87	72	749
88	78	802
89	80	811
90	82	824
91	83	828
92	87	857
93	88	857
94	90	862
95	92	870
96	94	881
97	97	897
98	99	907
99	101	912
100	102	909
101	102	905
102	103	902
103	104	901
104	105	902
105	107	902
106	108	903
107	109	900
108	111	912
109	112	913
110	115	926
111	118	940
112	121	954
113	124	964
114	125	968
115	127	970
116	128	970
117	129	969
118	130	969
119	132	969
120	133	967
121	134	964
122	135	962
123	136	960
124	136	957
125	137	955
126	138	953
127	139	951
128	141	953
129	142	953
130	143	950
131	144	948
132	145	945
133	145	942
134	146	939
135	147	936
136	148	933
137	149	931
138	149	928
139	150	924
140	151	921
141	151	917
142	152	914
143	153	911
144	154	908
145	154	904
146	155	902
147	156	900
148	157	897
149	157	895
150	158	892
151	159	889
152	159	884
153	160	882
154	161	879
155	162	877
156	162	874
157	163	871
158	164	868
159	164	866
160	165	864
161	166	862
162	167	860
163	168	858
164	169	855
165	169	853
166	170	850
167	171	848
168	171	845
169	172	843
170	173	840
171	174	838
172	174	836
173	175	833
174	176	831
175	177	829
176	177	826
177	178	824
178	179	821
179	179	819
180	180	817
181	181	814
182	181	812
183	182	809
184	183	808
185	184	806
186	184	803
187	185	801
188	186	798
189	186	796
190	187	793
191	188	791
192	188	788
193	189	786
194	189	783
195	190	780
196	190	777
197	191	775
198	192	772
199	192	770
200	193	768
201	193	765
202	194	763
203	195	761
204	195	759
205	196	757
206	197	755
207	197	753
208	198	751
209	199	749
210	199	746
211	200	744
212	200	742
213	201	740
214	202	738
215	202	736
216	203	734
217	204	732
218	204	729
219	205	727
220	205	725
221	206	723
222	207	721
223	207	719
224	208	717
225	209	716
226	209	714
227	210	712
228	211	710
229	211	708
230	212	707
231	212	704
232	213	702
233	214	700
234	214	698
235	215	696
236	215	695
237	216	693
238	217	691
239	217	690
240	218	688
241	219	686
242	219	684
243	220	682
244	221	681
245	221	679
246	222	677
247	222	675
248	223	673
249	224	672
250	224	670
251	225	668
252	226	667
253	226	665
254	227	663
255	227	662
256	228	660
257	229	659
258	229	657
259	230	655
260	230	653
261	231	652
262	232	650
263	232	649
264	233	647
265	233	645
266	234	644
267	235	642
268	235	641
269	236	639
270	237	638
271	237	636
272	238	635
273	239	634
274	239	632
275	240	631
276	241	629
277	241	628
278	242	626
279	243	625
280	243	623
281	244	622
282	245	621
283	245	619
284	246	618
285	247	616
286	247	615
287	248	614
288	249	612
289	249	611
290	250	610
291	251	608
292	251	607
293	252	605
294	253	604
295	253	603
296	254	601
297	254	600
298	255	599
299	256	598
300	256	596
301	257	595
302	258	593
303	258	592
304	259	591
305	260	589
306	260	588
307	261	587
308	261	585
309	262	584
310	263	582
311	263	581
312	264	580
313	265	578
314	265	577
315	266	576
316	266	574
317	267	573
318	268	572
319	268	571
320	269	569
321	269	568
322	270	567
323	271	565
324	271	564
325	272	563
326	273	561
327	273	560
328	274	559
329	274	558
330	275	557
331	276	555
332	276	554
333	277	553
334	278	552
335	278	551
336	279	550
337	280	548
338	280	547
339	281	546
340	282	545
341	282	544
342	283	543
343	284	542
344	284	540
345	285	539
346	286	538
347	286	537
348	287	536
349	288	535
350	288	533
351	289	532
352	289	531
353	290	530
354	291	529
355	291	527
356	292	526
357	293	525
358	293	524
359	294	523
360	295	522
361	295	521
362	296	519
363	296	518
364	297	517
365	298	516
366	298	515
367	299	514
368	300	513
369	300	511
370	301	510
371	301	509
372	302	508
373	303	507
374	303	506
375	304	505
376	305	504
377	305	502
378	306	501
379	306	500
380	307	499
381	308	498
382	308	497
383	309	496
384	310	495
385	310	494
386	311	493
387	312	492
388	312	491
389	313	490
390	314	489
391	314	488
392	315	487
393	316	486
394	316	485
395	317	484
396	318	483
397	318	482
398	319	481
399	320	480
400	320	478
401	321	477
402	321	476
403	322	475
404	323	474
405	323	473
406	324	472
407	325	471
408	325	470
409	326	469
410	326	468
411	327	467
412	328	466
413	328	465
414	329	464
415	330	463
416	330	462
417	331	461
418	332	460
419	332	459
420	333	458
421	333	457
422	334	456
423	335	455
424	335	454
425	336	453
426	337	452
427	337	451
428	338	450
429	339	449
430	339	448
431	340	447
432	340	446
433	341	445
434	342	444
435	342	443
436	343	442
437	344	441
438	344	440
439	345	439
440	346	438
441	346	437
442	347	436
443	348	435
444	348	434
445	349	433
446	349	432
447	350	431
448	351	430
449	351	429
450	352	429
451	353	428
452	353	427
453	354	426
454	354	425
455	355	424
456	356	423
457	356	422
458	357	421
459	358	420
460	358	419
461	359	418
462	359	417
463	360	416
464	361	415
465	361	414
466	362	413
467	363	412
468	363	411
469	364	410
470	364	409
471	365	408
472	366	408
473	366	407
474	367	406
475	368	405
476	368	404
477	369	403
478	369	402
479	370	401
480	371	400
481	371	399
482	372	398
483	373	397
484	373	396
485	374	396
486	375	395
487	375	394
488	376	393
489	377	392
490	377	391
491	378	390
492	378	389
493	379	388
494	380	387
495	380	387
496	381	386
497	382	385
498	382	384
499	383	383
500	384	382
501	384	381
502	385	380
503	386	379
504	386	379
505	387	378
506	387	377
507	388	376
508	389	375
509	389	374
510	390	373
511	391	372
512	391	371
513	392	371
514	393	370
515	393	369
516	394	368
517	394	367
518	395	366
519	396	365
520	396	364
521	397	363
522	397	362
523	398	362
524	399	361
525	399	360
526	400	359
527	401	358
528	401	357
529	402	356
530	403	356
531	403	355
532	404	354
533	405	353
534	405	352
535	406	351
536	407	351
537	407	350
538	408	349
539	409	348
540	409	347
541	410	346
542	411	345
543	411	345
544	412	344
545	413	343
546	413	342
547	414	341
548	414	340
549	415	339
550	416	339
551	416	338
552	417	337
553	417	336
554	418	335
555	419	334
556	419	333
557	420	333
558	421	332
559	421	331
560	422	330
561	422	329
562	423	328
563	424	327
564	424	327
565	425	326
566	426	325
567	426	324
568	427	323
569	427	322
570	428	321
571	429	321
572	429	320
573	430	319
574	431	318
575	431	317
576	432	316
577	432	316
578	433	315
579	434	314
580	434	313
581	435	312
582	435	311
583	436	311
584	437	310
585	437	309
586	438	308
587	439	307
588	439	306
589	440	306
590	441	305
591	441	304
592	442	303
593	442	302
594	443	301
595	444	301
596	444	300
597	445	299
598	446	298
599	446	297
600	447	296
601	447	296
602	448	295
603	449	294
604	449	293
605	450	292
606	451	292
607	451	291
608	452	290
609	452	289
